ano_mes_ordinal;valor_receita;SMA(12);SMA(6);SMA(3);SMA(2);lag(12);lag(6);lag(4);lag(3);lag(2);lag(1);populacao;variacao_anual;aceleracao_variacao_anual;valor_pib
737669;13729360.54;12598167.916666666;14793629.256666666;13582676.62;13619347.600000001;10706530.74;11916230.82;18048757.43;18048757.43;13509334.66;13509334.66;62289;296;79;1134471000.0
737669;13729360.54;12850070.399999999;15095817.543333335;13656018.579999998;13729360.54;10706530.74;11916230.82;18048757.43;13509334.66;13509334.66;13729360.54;62289;296;79;1134470.6
737699;10811443.81;12925618.592500001;13889598.606666667;12756721.63;12270402.175;9904865.5;18048757.43;13509334.66;13509334.66;13729360.54;13729360.54;62289;296;79;1134471000.0
737699;10811443.81;13001166.785000002;12683379.67;11784082.719999999;10811443.81;9904865.5;18048757.43;13509334.66;13729360.54;13729360.54;10811443.81;62289;296;79;1134470.6
737730;11552068.71;13131183.056666667;12357168.678333335;11058318.776666667;11181756.260000002;9991873.45;13509334.66;13729360.54;13729360.54;10811443.81;10811443.81;62289;296;79;1134471000.0
737730;11552068.71;13261199.328333333;12030957.686666667;11305193.743333334;11552068.71;9991873.45;13509334.66;13729360.54;10811443.81;10811443.81;11552068.71;62289;296;79;1134470.6
737760;18312335.18;13794208.025;12794786.793333335;13805490.866666667;14932201.945000002;11916230.82;13729360.54;10811443.81;10811443.81;11552068.71;11552068.71;62289;296;79;1134471000.0
737760;18312335.18;14327216.721666666;13558615.9;16058913.023333333;18312335.18;11916230.82;13729360.54;10811443.81;11552068.71;11552068.71;18312335.18;62289;296;79;1134470.6
737791;17144231.93;14251839.59666667;14614080.586666666;17922967.43;17728283.555;18048757.43;10811443.81;11552068.71;11552068.71;18312335.18;18312335.18;62576;287;-9;1257498.834628885
737822;11585767.2;13713257.0775;14743134.485;15680778.103333334;14364999.565000001;18048757.43;10811443.81;11552068.71;18312335.18;18312335.18;17144231.93;62576;287;-9;1257498.834628885
737850;11816362.290000001;13572176.046666667;14787183.415000001;13515453.806666667;11701064.745000001;13509334.66;11552068.71;18312335.18;18312335.18;17144231.93;11585767.2;62576;287;-9;1257498.834628885
737881;11713154.35;13422494.354166666;14814031.021666666;11705094.613333335;11764758.320000002;13509334.66;11552068.71;18312335.18;17144231.93;11585767.2;11816362.290000001;62576;287;-9;1257498.834628885
737911;15073624.23;13534516.328333333;14274245.863333335;12867713.623333335;13393389.290000003;13729360.54;18312335.18;17144231.93;11585767.2;11816362.290000001;11713154.35;62576;287;-9;1257498.834628885
737942;12635332.9;13443347.358333334;13328078.816666665;13140703.826666668;13854478.565000001;13729360.54;18312335.18;11585767.2;11816362.290000001;11713154.35;15073624.23;62576;287;-9;1257498.834628885
